Indicator_Name,Indicator_Code
Cost to export (US$ per container),IC.EXP.COST.CD
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS
Income share held by highest 10%,SI.DST.10TH.10
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN
Time to export (days),IC.EXP.DURS
Debt stock reduction (current US$),DT.DSF.DPPG.CD
Taxes on exports (current LCU),GC.TAX.EXPT.CN
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD
"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT
Poverty gap at rural poverty line (%),SI.POV.RUGP
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD
"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD
"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS
Household final consumption expenditure (current LCU),NE.CON.PRVT.CN
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD
Average interest on new external debt commitments (%),DT.INR.DPPG
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG
"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD
Road sector energy consumption per capita (kg of oil equivalent),IS.ROD.ENGY.PC
Money and quasi money (M2) (current LCU),FM.LBL.MQMY.CN
"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD
"Employment to population ratio, ages 15-24, female (%)",SL.EMP.1524.SP.FE.ZS
"Average interest on new external debt commitments, official (%)",DT.INR.OFFT
"Water pollution, paper and pulp industry (% of total BOD emissions)",EE.BOD.PAPR.ZS
"Prevalence of wasting, female (% of children under 5)",SH.STA.WAST.FE.ZS
Organic water pollutant (BOD) emissions (kg per day per worker),EE.BOD.WRKR.KG
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD
"Interest arrears, private creditors (current US$)",DT.IXA.PRVT.CD
"Children out of school, primary",SE.PRM.UNER
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS
Net official development assistance received (current US$),DT.ODA.ODAT.CD
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD
Ratio of female to male secondary enrollment (%),SE.ENR.SECO.FM.ZS
"Unemployment with secondary education, male (% of male unemployment)",SL.UEM.SECO.MA.ZS
"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS
Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS
"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN
Household final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG
"Lead time to export, median case (days)",LP.EXP.DURS.MD
Merchandise imports from developing economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS
"School enrollment, primary (% gross)",SE.PRM.ENRR
Crop production index (2004-2006 = 100),AG.PRD.CROP.XD
CO2 emissions from residential buildings and commercial and public services (million metric tons),EN.CO2.BLDG.MT
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD
"PPG, IDA (NTR, current US$)",DT.NTR.MIDA.CD
"PPG, IBRD (TDS, current US$)",DT.TDS.MIBR.CD
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3
Number of infant deaths,SH.DTH.IMRT
"PPG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.CD
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD
Labor force with tertiary education (% of total),SL.TLF.TERT.ZS
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD
"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT
"PPG, other private creditors (NTR, current US$)",DT.NTR.PROP.CD
"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD
Interest forgiven (current US$),DT.IXF.DPPG.CD
Social contributions (% of revenue),GC.REV.SOCL.ZS
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE
"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS
"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
Compensation of employees (current LCU),GC.XPN.COMP.CN
Energy use (kt of oil equivalent),EG.USE.COMM.KT.OE
"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS
"GDP per capita, PPP (constant 2005 international $)",NY.GDP.PCAP.PP.KD
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS
"Lead time to import, median case (days)",LP.IMP.DURS.MD
Rural population,SP.RUR.TOTL
Management time dealing with officials (% of management time),IC.GOV.DURS.ZS
Time to prepare and pay taxes (hours),IC.TAX.DURS
Gross fixed capital formation (constant 2005 US$),NE.GDI.FTOT.KD
"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD
Expense (% of GDP),GC.XPN.TOTL.GD.ZS
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),SL.EMP.INSV.FE.ZS
Forest area (sq. km),AG.LND.FRST.K2
"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS
Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS
"Unemployment with secondary education, female (% of female unemployment)",SL.UEM.SECO.FE.ZS
"Secondary education, duration (years)",SE.SEC.DURS
"School enrollment, primary, female (% net)",SE.PRM.NENR.FE
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS
"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS
